player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"らねおか",XaClitYV1x,2026-01-19T13:51:17.078Z,2026-01-19T13:59:06.284Z,2500,2530,0,30
"Ene",6N30cpGlP_,2026-01-19T12:42:04.887Z,,3000,,3107,107
"ばどえあー",WjqaCs8A5o,2026-01-19T12:33:29.890Z,,2981,,2000,-981
"ふじ",6EXZrOgNuV,2026-01-19T11:54:18.148Z,2026-01-19T12:37:16.625Z,2000,3930,0,1930
"そばやき",U3O4lU7Zcn,2026-01-19T11:25:36.602Z,2026-01-19T11:35:46.669Z,2500,2420,0,-80
"Kuni",3FatmzAl-m,2026-01-19T11:24:30.326Z,,2500,1958,4152,3610
"arash!",k5rEzFp2MR,2026-01-19T11:04:25.836Z,2026-01-19T11:05:06.025Z,2200,2200,0,0
"stshin",Q2j8jaLDDn,2026-01-19T11:04:25.834Z,2026-01-19T11:24:30.322Z,3000,3520,0,520
"utos",g0yui9LXM4,2026-01-19T11:04:25.831Z,2026-01-19T11:57:28.673Z,2400,2851,0,451
"ゆうま",MI-fYAoFiY,2026-01-19T11:04:25.826Z,,4165,,1950,-2215
"ゴン02（江戸犬）",X2HiN5-cFQ,2026-01-19T11:01:34.799Z,2026-01-19T14:01:29.930Z,2000,3303,0,1303
"すとふぁ",vdNIJNJGUU,2026-01-19T11:01:34.797Z,,2500,1235,2690,1425
"konasho",b7sgMo_M-5,2026-01-19T11:01:34.788Z,2026-01-19T11:17:39.323Z,2000,2000,0,0
"粗茶",GtqOGZOqIV,2026-01-19T11:01:34.785Z,2026-01-19T12:12:56.516Z,5654,4755,0,-899
"ノガード",WtIP2AbI23,2026-01-19T11:01:34.792Z,,9278,1297,2780,-5201
